shapeid,partid,x,y,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
"0",,23.9090797360001,52.7221641340001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"171","3","0","0",0.18437623677264,258.38808500893595
"1",,23.9082809350001,52.722000005,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"172","3","0","1",0.18519172519457,258.71983031912100
"2",,23.9075335670001,52.721855416,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"173","3","0","2",0.18595295111786,259.15586629178154
"3",,23.9071224770001,52.721777451,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"174","3","0","3",0.18637136900625,259.25945728846250
"4",,23.9070484820001,52.7217634130001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"175","3","0","4",0.18644668384857,259.25761006862041
"5",,23.9068767510001,52.721730832,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"176","3","0","5",0.18662147817889,259.15612616052260
"6",,23.905262302,52.721418617,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"177","3","0","6",0.18826583938616,258.92918098430005
"7",,23.903257464,52.7210217780001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"178","3","0","7",0.19030957532755,259.02401462236804
"8",,23.9021134150001,52.7208044590001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"179","3","0","8",0.19147408194498,258.89096457592018
"9",,23.900485168,52.7204742970001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"180","3","0","9",0.19313546547668,258.48759256264896
"10",,23.8988795480001,52.7201458120001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"181","3","0","10",0.19477434252500,258.58719022353574
"11",,23.8976422870001,52.7198994060001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"182","3","0","11",0.19603590136193,256.96559137228138
"12",,23.8973629560001,52.7198255750001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"183","3","0","12",0.19632482492297,254.06446666101021
"13",,23.8971423020001,52.7197578380001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"184","3","0","13",0.19655564192596,245.17521410700667
"14",,23.8970394830001,52.7196921230001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"185","3","0","14",0.19667766736589,232.05596782559590
